source,target,value
Lux,Ashe,5.667492727076824
Seraphine,Ashe,6.2731604023292755
Ashe,Seraphine,3.72261053954292
Fizz,MissFortune,13.323378131740501
MissFortune,Fizz,2.5768564277004042
Nocturne,Brand,5.084288604180714
Brand,Nocturne,3.4059083928087452
Jhin,Brand,5.2825606106605365
Brand,Jhin,11.003704038305177
Draven,Graves,5.864994466986352
Graves,Draven,3.617198756350952
Graves,Nami,5.308258133009782
Nami,Graves,6.164685160722149
Draven,Nami,5.643673921062339
Nami,Draven,4.04227212681638
Rammus,Caitlyn,9.16988416988417
Caitlyn,Rammus,1.499605367008682
Urgot,MasterYi,6.292906178489703
MasterYi,Urgot,2.248569092395748
MasterYi,MissFortune,13.368765331152902
MissFortune,MasterYi,6.296129901803478
MasterYi,Morgana,8.237939493049877
Morgana,MasterYi,7.19214753123141
MissFortune,Morgana,7.236377639432642
Morgana,MissFortune,13.414634146341465
XinZhao,Lux,12.749844816883924
Lux,XinZhao,3.6885393097008223
Varus,Morgana,7.888316616969368
Morgana,Varus,1.7311124330755503
Nocturne,Lucian,8.091706001348618
Lucian,Nocturne,3.201195112842128
Samira,Amumu,5.185036606157857
Amumu,Samira,4.353317615358707
Swain,MasterYi,6.643608589133882
MasterYi,Swain,3.141182883619515
Garen,Ashe,5.574324324324325
Ashe,Garen,3.8875363229403908
Trundle,Ashe,5.987223295201308
Ashe,Trundle,3.1650043194848028
Warwick,Irelia,7.202020202020202
Irelia,Warwick,4.3879623361437625
Blitzcrank,Katarina,5.969656992084433
Katarina,Blitzcrank,3.912667531344574
Ahri,Viego,5.910050332846241
Viego,Ahri,2.6617915904936016
Ahri,Jhin,9.839259620068193
Jhin,Ahri,2.628269072299085
Nunu,Yasuo,14.180308969333641
Yasuo,Nunu,1.950708916167095
MasterYi,Caitlyn,8.367402562005996
Caitlyn,MasterYi,6.461457511181267
Brand,Khazix,6.152317282500678
Khazix,Brand,4.7085666874092515
Brand,Ashe,5.510886258921312
Ashe,Brand,4.790701327259876
Kayle,Jhin,9.806415147661438
Jhin,Kayle,3.0099319078804703
Khazix,Vayne,7.363617506741341
Vayne,Khazix,6.139036200138345
Camille,Ezreal,8.025433923354528
Ezreal,Camille,2.649645390070922
Kassadin,Ezreal,7.703281027104136
Ezreal,Kassadin,1.8382978723404255
FiddleSticks,Yone,10.45945945945946
Yone,FiddleSticks,1.7872812081466773
Garen,MasterYi,6.396396396396396
MasterYi,Garen,3.8702643772144993
Urgot,Yuumi,6.5408085430968725
Yuumi,Urgot,2.3108536010240517
Vayne,Yuumi,6.899930827761125
Yuumi,Vayne,8.064407464798222
Brand,Tristana,5.754810732676845
Tristana,Brand,4.795964463183255
Zyra,Khazix,6.5814325148917625
Khazix,Zyra,3.1321302634308235
Nasus,Lux,12.62592343854936
Lux,Nasus,4.726502172898035
Lucian,Nami,19.3618951075068
Nami,Lucian,31.959489211800967
Zyra,Ashe,6.101990411157925
Ashe,Zyra,3.2985156679494225
Amumu,Yone,9.447625463118897
