source,target,conf,win_rate
Darius,Katarina,6.347137270630703,0.4834123222748815
Katarina,Darius,4.561175961954172,0.4834123222748815
Darius,Kaisa,5.093753133460343,0.44881889763779526
Kaisa,Darius,4.379310344827586,0.44881889763779526
Darius,Thresh,5.354457033991778,0.42134831460674155
Thresh,Darius,4.306798935398016,0.42134831460674155
Viego,Kaisa,5.126142595978062,0.4921540656205421
Kaisa,Viego,6.043103448275862,0.4921540656205421
Viego,Thresh,5.36745886654479,0.4673024523160763
Thresh,Viego,5.91983224453585,0.4673024523160763
Kaisa,Thresh,6.2844827586206895,0.47599451303155005
Thresh,Kaisa,5.879506411807403,0.47599451303155005
Diana,Ashe,5.734767025089606,0.5132575757575758
Ashe,Diana,4.146705411136417,0.5132575757575758
Yone,Yuumi,6.340922735879555,0.48215586307356156
Yuumi,Yone,9.250151586606481,0.48215586307356156
Sylas,Yuumi,6.498859849149271,0.47368421052631576
Yuumi,Sylas,4.992252240113185,0.47368421052631576
Warwick,Yasuo,13.464646464646465,0.5288822205551388
Yasuo,Warwick,4.2281219272369714,0.5288822205551388
Xayah,Rakan,20.92150170648464,0.5040783034257749
Rakan,Xayah,24.969450101832994,0.5040783034257749
Zed,Morgana,7.318812750315466,0.5082458770614693
Morgana,Zed,7.935752528256989,0.5082458770614693
Graves,Jhin,9.850610449685297,0.5204003079291762
Jhin,Graves,5.633863902502494,0.5204003079291762
Lux,Jhin,10.218008116941421,0.5398945518453427
Jhin,Lux,12.338985991239102,0.5398945518453427
Soraka,Jhin,10.457516339869281,0.5331632653061225
Jhin,Soraka,3.4002688988159777,0.5331632653061225
LeeSin,Tristana,5.932203389830509,0.45514950166112955
Tristana,LeeSin,6.798674898358681,0.45514950166112955
Pyke,LeeSin,6.539509536784741,0.43472222222222223
LeeSin,Pyke,4.729996058336618,0.43472222222222223
Warwick,Tristana,6.4646464646464645,0.5234375
Tristana,Warwick,4.818551422978467,0.5234375
Tristana,Pyke,5.398283391055564,0.4881450488145049
Pyke,Tristana,6.512261580381471,0.4881450488145049
Kayn,Vex,6.422836752899197,0.5092592592592593
Vex,Kayn,8.792998168125383,0.5092592592592593
Kayn,Vayne,7.552780255724056,0.5072178477690289
Vayne,Kayn,8.784874337099376,0.5072178477690289
