champion,popularity
Shaco,0.04531708618696077
Leona,0.046266696663544896
Neeko,0.01599949772669007
Morgana,0.061130847429250096
MonkeyKing,0.01868090471979951
Katarina,0.04046177752431578
Zed,0.05697924460186992
Jinx,0.04769765239547745
Velkoz,0.029396068664947077
Renekton,0.013639859572753765
Brand,0.045235989975461854
Gnar,0.015280095850489978
DrMundo,0.023651317682636515
Volibear,0.03762079411503105
Diana,0.03630755869011306
Senna,0.042941751992089196
Yone,0.0774181059064202
Samira,0.035556764732042424
Rengar,0.019680219326012
Yuumi,0.05483673501420492
Illaoi,0.013409650972369735
Rakan,0.03278641350696643
Mordekaiser,0.04508164557293166
Lissandra,0.012070255479226289
Yorick,0.01715054072861022
Ryze,0.021875049050127923
Janna,0.01720024485823859
Jax,0.04251795888683678
XinZhao,0.02846215422929823
Nocturne,0.033312230878298134
Jhin,0.09625073902192736
Zyra,0.029720453510942758
Talon,0.030536647639577044
Kennen,0.0218907450910632
Riven,0.023578069491605236
Xayah,0.02780292051001669
Warwick,0.037492609780726306
Zilean,0.01493739895673648
Shyvana,0.019664523285076726
Twitch,0.039323814556508366
FiddleSticks,0.024755272561750842
Kaisa,0.051755078977245975
TwistedFate,0.023285076727480106
Yasuo,0.10553233122831984
Kayn,0.07160795475354599
Tryndamere,0.039888872030178255
Singed,0.012282152031852499
Cassiopeia,0.01848732021493112
Kayle,0.02864265870005389
Poppy,0.02252381874211928
Malzahar,0.022340698264541076
Viego,0.05775881463498857
Evelynn,0.02714891880438024
Camille,0.03544950845231804
Malphite,0.0332991508441854
Thresh,0.053745860169203324
MissFortune,0.12909732068581234
Caitlyn,0.07050138386760912
Akali,0.034588842207700476
Soraka,0.0312769775703575
Lucian,0.07967310378745468
Udyr,0.01045879527653808
Irelia,0.0559668499615447
Ahri,0.026277788532472493
Graves,0.07089640089781354
Fiora,0.02882316317080955
Fizz,0.024020174644615474
Nunu,0.017639734004426283
Seraphine,0.02724832706363698
Blitzcrank,0.03589161360532828
Kassadin,0.016831387896259632
KogMaw,0.011570598176120044
Nasus,0.04029435308767285
Vex,0.061091607326911906
Nami,0.05898572183476254
Shen,0.023227524577384098
Braum,0.01626109840894465
Teemo,0.06810250561133463
Qiyana,0.036103510157954495
Sivir,0.021019614819155447
Sona,0.01826495963501473
Sylas,0.03947815895903856
LeeSin,0.05851745661352685
Vi,0.019834563728542205
Galio,0.017501085642831357
Gwen,0.019567731032642532
Viktor,0.014144748889505104
Aphelios,0.032566668933872576
Pyke,0.0465178333185093
Nidalee,0.013069570085438784
TahmKench,0.027619800032438486
Urgot,0.02610513208218447
Hecarim,0.021328303624215852
Veigar,0.03267392521359696
Garen,0.04978260983304644
Varus,0.0151728395707656
Nautilus,0.034167665109270606
Anivia,0.017406909397219707
Rumble,0.007471315485190785
Alistar,0.01699619632608002
Sett,0.05285641784953775
Ezreal,0.08390057081268867
Tristana,0.052542497030832254
Orianna,0.016854931957662547
Lux,0.11642015162375544
Sion,0.027855240646467605
Gragas,0.012938769744311494
Vladimir,0.020211268710988797
Amumu,0.04481742888385453
JarvanIV,0.028004353035352716
Lillia,0.030989216819877465
Olaf,0.010539891488037
Leblanc,0.040150472712432834
Lulu,0.037932098926914
Gangplank,0.021929985193401384
Xerath,0.038863397355740306
MasterYi,0.053507803548351655
Aatrox,0.01783593451611722
Jayce,0.016117218033704632
Vayne,0.06801617738619062
Bard,0.016601179295875602
Khazix,0.05156411047920013
Swain,0.02407249478106639
Kindred,0.015740513051258037
Karma,0.02429747136780533
Rell,0.009370536438359032
Zac,0.017472309567783353
Ziggs,0.024368103552014065
Draven,0.03215595586273289
Pantheon,0.024195447101726043
Darius,0.0457696553672612
Ashe,0.05658161156484296
Ekko,0.05087086867122549
Trundle,0.028265953717607296
Chogath,0.019279970282162495
Maokai,0.010160570498767861
Syndra,0.021678848538436987
Akshan,0.03326252674866976
Elise,0.010006226096237658
Zoe,0.015026343188703037
Rammus,0.012122575615677205
Annie,0.0203028289497779
Sejuani,0.009679225243419435
