0,KR_5530978714,KR_5530983701,KR_5530849761,KR_5530854785,KR_5527986712,KR_5527899079,KR_5527846040,KR_5527821834,KR_5527656021,KR_5527433733
1,KR_5532003661,KR_5532020350,KR_5531936645,KR_5531942560,KR_5531849185,KR_5531845695,KR_5530596690,KR_5530585726,KR_5530525522,KR_5530533986
2,KR_5529691002,KR_5523619724,KR_5523665790,KR_5520712307,KR_5520659191,KR_5520605247,KR_5519544569,KR_5519299504,KR_5519333164,KR_5512090379
3,KR_5530522377,KR_5530520968,KR_5530497603,KR_5530436969,KR_5530483320,KR_5524706051,KR_5524682838,KR_5524638390,KR_5504681041,KR_5504557988
4,KR_5517159478,KR_5517177618,KR_5515711584,KR_5515202951,KR_5513173059,KR_5508195393,KR_5504689439,KR_5504469602,KR_5503051132,KR_5502368073
5,KR_5501029208,KR_5500967160,KR_5498895299,KR_5498843151,KR_5498840419,KR_5498696801,KR_5448384704,KR_5448266084,KR_5444926273,KR_5444837144
6,KR_5488472732,KR_5488380256,KR_5488055493,KR_5488120016,KR_5480482493,KR_5480346711,KR_5480332397,KR_5480246014,KR_5476449072,KR_5476476177
7,KR_5438869641,KR_5438788222,KR_5437328716,KR_5434509553,KR_5434513962,KR_5434499102,KR_5433306526,KR_5433212359,KR_5433148150,KR_5432155182
8,KR_5531775225,KR_5531656840,KR_5526739709,KR_5526663332,KR_5525619017,KR_5525584129,KR_5525538286,KR_5525532454,KR_5524750120,KR_5524593958
9,KR_5506236462,KR_5506194160,KR_5506099734,KR_5504116253,KR_5504172250,KR_5503927876,KR_5503824840,KR_5503850731,KR_5503667780,KR_5503681925
10,KR_5514836132,KR_5514757975,KR_5499817798,KR_5499762748,KR_5499682509,KR_5497541327,KR_5497446253,KR_5497392114,KR_5497286683,KR_5497332325
11,KR_5518426859,KR_5448826792,KR_5447239673,KR_5446588141,KR_5443892684,KR_5443758774,KR_5443726585,KR_5443753170,KR_5442226730,KR_5442233705
12,KR_5478663697,KR_5478615275,KR_5473279770,KR_5473353951,KR_5473233847,KR_5471282716,KR_5471155785,KR_5471019187,KR_5471052938,KR_5470907290
13,KR_5531158642,KR_5531120618,KR_5527326366,KR_5520052833,KR_5508556035,KR_5508544393,KR_5508454274,KR_5508394907,KR_5508301690,KR_5508247998
14,KR_5528104633,KR_5528019185,KR_5527965140,KR_5527216932,KR_5527185799,KR_5527142730,KR_5527201014,KR_5527210194,KR_5527140515,KR_5526098919
15,KR_5528715970,KR_5528770254,KR_5518343649,KR_5518119684,KR_5507839845,KR_5507926176,KR_5507833130,KR_5500338668,KR_5494521611,KR_5494426514
16,KR_5531069517,KR_5531026782,KR_5530979776,KR_5529719107,KR_5529656499,KR_5529710270,KR_5529597183,KR_5524196185,KR_5524250174,KR_5522365152
