champion,popularity
Shaco,0.04335654844209937
Leona,0.048777177370782895
Neeko,0.014628911717550453
Morgana,0.07129950883503135
Karthus,0.00849995334356947
MonkeyKing,0.017131392991355836
Katarina,0.05886344935232391
Zed,0.07730970538584868
Jinx,0.0475513856959867
Velkoz,0.01686842038292205
Gnar,0.013352222118541266
Brand,0.04694909359279964
Renekton,0.015269377263897254
DrMundo,0.02260291984425235
Diana,0.039051432352417224
Volibear,0.03821585809658729
Senna,0.041808403247287566
Yone,0.09184106274865757
Samira,0.042291933527310976
Rengar,0.023446977087451117
Yuumi,0.06295649075778526
Illaoi,0.015472968960749218
Rakan,0.020825733990482088
Mordekaiser,0.04509556085270989
Lissandra,0.013174079383795797
Yorick,0.01364912667645038
Ryze,0.01862864026195465
Janna,0.013369188093278929
Ornn,0.010786118439469644
Jax,0.04699999151701263
Nocturne,0.031450675669943924
XinZhao,0.034165231627970104
Jhin,0.09779611988157749
Zyra,0.029194201029834665
Talon,0.031773029189959535
Kennen,0.01676238304081165
Riven,0.02424013640643689
Xayah,0.0248551529906772
Warwick,0.041990787475717446
Zilean,0.011829525885835955
Twitch,0.040586853066175786
FiddleSticks,0.015693526632338844
TwistedFate,0.018870405401966356
Kaisa,0.049201326739224484
Shyvana,0.011405376517394365
Yasuo,0.1337215713885802
Kayn,0.0855848595641441
Tryndamere,0.0425379401610071
Cassiopeia,0.017275603776625976
Kayle,0.030017050804611353
Poppy,0.01588439384813756
Malzahar,0.01781003198086238
Viego,0.05800242613438748
Evelynn,0.022721681667415998
Quinn,0.00891561972464223
Camille,0.024681251749616145
Thresh,0.05259028019307279
Malphite,0.04274577335154348
MissFortune,0.1321734261937684
Caitlyn,0.08060958747232426
Akali,0.04126125056199791
Soraka,0.03179847815206603
Lucian,0.07949831612700729
Udyr,0.009895404765742305
Irelia,0.06892003087807402
Ahri,0.026123359602317552
Graves,0.055932577216392526
Fiora,0.031238600985723133
Fizz,0.025563482435974654
Nunu,0.018395358109311775
Seraphine,0.03204872627944657
Blitzcrank,0.03858062655344706
Kassadin,0.017839722436653292
KogMaw,0.01163865867003724
Nasus,0.044209088672666964
Vex,0.06251537541460601
Nami,0.04816216078654259
Shen,0.02071969664837169
Braum,0.015769873518658332
Qiyana,0.03179847815206603
Sivir,0.018929786313548178
Sona,0.016270369773419408
Sylas,0.04836151098971014
LeeSin,0.06456401686417888
Vi,0.018361426159836446
Galio,0.01466284366702578
Gwen,0.01589711832919081
Viktor,0.009657881119415013
Aphelios,0.025207196966483717
Pyke,0.0466988454654191
Nidalee,0.010921846237370952
TahmKench,0.027959926367669637
Urgot,0.022242392881077
Hecarim,0.022166045994757515
Veigar,0.03409736772901945
Garen,0.037664463917613224
Varus,0.01564687020181027
Nautilus,0.03643867224281703
Anivia,0.013521881865917901
Alistar,0.015629904227072607
Sett,0.058218742312292696
Ezreal,0.0747563261878303
Tristana,0.05633551911641203
Orianna,0.012728722546932128
Lux,0.11809590865519201
Sion,0.022700474198993917
Gragas,0.011278131706861889
Vladimir,0.025771315626511034
Amumu,0.05037197899612327
JarvanIV,0.025686485752822712
Lillia,0.02937658525826455
Olaf,0.010917604743686537
Leblanc,0.030521788553056844
Lulu,0.03758387553760933
Gangplank,0.028948194396138546
Xerath,0.03291823248475183
MasterYi,0.0622481613124878
Aatrox,0.02088511490206391
Jayce,0.011693798087934647
Vayne,0.0735814324372471
Bard,0.00910224544675653
Khazix,0.06134472315770722
Swain,0.029431724676161956
Zac,0.017322260207154553
Karma,0.022043042677909453
Annie,0.01990108836727942
Rell,0.008644164128839612
Kindred,0.01468405113544786
Ziggs,0.015214237845999847
Draven,0.034496068135354545
Pantheon,0.028379834242426814
Darius,0.04230041651467981
Ashe,0.0540069390836677
Ekko,0.044849554219013765
Trundle,0.02854949398980345
Chogath,0.019926537329385915
Maokai,0.007719518505636945
Syndra,0.017296811245048057
Akshan,0.031068941238346495
Zoe,0.01189738978478661
Rammus,0.013182562371164629
Teemo,0.0631261505051619
Sejuani,0.009064072003596787
